,symbol
429,SHSE.600539
430,SHSE.600540
431,SHSE.600543
432,SHSE.600545
433,SHSE.600546
434,SHSE.600547
435,SHSE.600548
436,SHSE.600549
437,SHSE.600550
438,SHSE.600551
439,SHSE.600552
440,SHSE.600555
441,SHSE.600556
442,SHSE.600557
443,SHSE.600558
444,SHSE.600559
445,SHSE.600560
446,SHSE.600561
447,SHSE.600562
448,SHSE.600563
449,SHSE.600565
450,SHSE.600566
451,SHSE.600567
452,SHSE.600568
453,SHSE.600569
454,SHSE.600570
455,SHSE.600571
456,SHSE.600572
457,SHSE.600573
458,SHSE.600575
459,SHSE.600576
460,SHSE.600577
461,SHSE.600578
462,SHSE.600579
463,SHSE.600580
464,SHSE.600581
465,SHSE.600582
466,SHSE.600583
467,SHSE.600584
468,SHSE.600585
469,SHSE.600586
470,SHSE.600587
471,SHSE.600588
472,SHSE.600589
473,SHSE.600590
474,SHSE.600592
475,SHSE.600593
476,SHSE.600594
477,SHSE.600596
478,SHSE.600597
479,SHSE.600598
480,SHSE.600599
481,SHSE.600600
482,SHSE.600601
483,SHSE.600602
484,SHSE.600603
485,SHSE.600604
486,SHSE.600605
487,SHSE.600606
488,SHSE.600608
489,SHSE.600609
490,SHSE.600610
491,SHSE.600611
492,SHSE.600612
493,SHSE.600613
494,SHSE.600615
495,SHSE.600616
496,SHSE.600617
497,SHSE.600618
498,SHSE.600619
499,SHSE.600620
500,SHSE.600621
501,SHSE.600622
502,SHSE.600623
503,SHSE.600624
504,SHSE.600626
505,SHSE.600628
506,SHSE.600629
507,SHSE.600630
508,SHSE.600633
509,SHSE.600635
510,SHSE.600636
511,SHSE.600637
512,SHSE.600638
513,SHSE.600639
514,SHSE.600640
515,SHSE.600641
516,SHSE.600642
517,SHSE.600643
518,SHSE.600644
519,SHSE.600645
520,SHSE.600647
521,SHSE.600648
522,SHSE.600649
523,SHSE.600650
524,SHSE.600651
525,SHSE.600652
526,SHSE.600653
527,SHSE.600654
528,SHSE.600655
529,SHSE.600657
530,SHSE.600658
531,SHSE.600660
532,SHSE.600661
533,SHSE.600662
534,SHSE.600663
535,SHSE.600664
536,SHSE.600665
537,SHSE.600666
538,SHSE.600667
539,SHSE.600668
540,SHSE.600671
541,SHSE.600673
542,SHSE.600674
543,SHSE.600675
544,SHSE.600676
545,SHSE.600678
546,SHSE.600679
547,SHSE.600681
548,SHSE.600682
549,SHSE.600683
550,SHSE.600684
551,SHSE.600685
552,SHSE.600686
553,SHSE.600688
554,SHSE.600689
555,SHSE.600690
556,SHSE.600691
557,SHSE.600692
558,SHSE.600693
559,SHSE.600694
560,SHSE.600695
561,SHSE.600696
562,SHSE.600697
563,SHSE.600698
564,SHSE.600699
565,SHSE.600702
566,SHSE.600703
567,SHSE.600704
568,SHSE.600705
569,SHSE.600706
570,SHSE.600707
571,SHSE.600708
572,SHSE.600710
573,SHSE.600711
574,SHSE.600712
575,SHSE.600713
576,SHSE.600714
577,SHSE.600715
578,SHSE.600716
579,SHSE.600717
580,SHSE.600718
581,SHSE.600719
582,SHSE.600720
583,SHSE.600721
584,SHSE.600722
585,SHSE.600724
586,SHSE.600725
587,SHSE.600726
588,SHSE.600727
589,SHSE.600728
590,SHSE.600729
591,SHSE.600730
592,SHSE.600731
593,SHSE.600732
594,SHSE.600733
595,SHSE.600734
596,SHSE.600735
597,SHSE.600736
598,SHSE.600737
599,SHSE.600738
600,SHSE.600739
601,SHSE.600740
602,SHSE.600741
603,SHSE.600742
604,SHSE.600743
605,SHSE.600744
606,SHSE.600745
607,SHSE.600746
608,SHSE.600748
609,SHSE.600749
610,SHSE.600750
611,SHSE.600751
612,SHSE.600753
613,SHSE.600754
614,SHSE.600755
615,SHSE.600756
616,SHSE.600757
617,SHSE.600758
618,SHSE.600759
619,SHSE.600760
620,SHSE.600761
621,SHSE.600763
622,SHSE.600764
623,SHSE.600765
624,SHSE.600766
625,SHSE.600767
626,SHSE.600768
627,SHSE.600769
628,SHSE.600770
629,SHSE.600771
630,SHSE.600773
631,SHSE.600774
632,SHSE.600775
633,SHSE.600776
634,SHSE.600777
635,SHSE.600778
636,SHSE.600779
637,SHSE.600780
638,SHSE.600781
639,SHSE.600782
640,SHSE.600783
641,SHSE.600784
642,SHSE.600785
643,SHSE.600787
644,SHSE.600789
645,SHSE.600790
646,SHSE.600791
647,SHSE.600792
648,SHSE.600793
649,SHSE.600794
650,SHSE.600795
651,SHSE.600796
652,SHSE.600797
653,SHSE.600798
654,SHSE.600800
655,SHSE.600801
656,SHSE.600802
657,SHSE.600803
658,SHSE.600804
659,SHSE.600805
