date,inflow,purchase,inflow_mean,inflow_bias,inflow_Q60,inflow_Q120,inflow_Q200,purchase_mean,purchase_bias,purchase_Q60,purchase_Q120,purchase_Q200
2015-06-01,1625.0312,1177.8517,1531.0943616707518,6.135274264007023,65.49096509416182,16.839581057005347,,1100.9048047395468,6.98942314804934,81.53828316390438,23.04214328319219,
2015-06-02,1629.8412,1180.1453,1540.4988224640135,5.799574542555263,64.5096810046797,16.243093184307895,,1108.4515185738755,6.467922162113581,78.42830466694117,22.16328531177005,
2015-06-03,1632.0212,1180.4608,1549.2152393722026,5.345026212197169,64.22218267992092,15.435429223667882,,1115.3095453763635,5.841540126122652,74.69286654630109,21.10767686551091,
2015-06-04,1629.4212,1169.5237,1556.8539022891357,4.661150131310606,61.866686066968754,14.220284370664741,,1120.4727981976623,4.37769679739111,65.96321617544073,18.64073928904521,
2015-06-05,1623.3312,1155.6263000000001,1563.1850734996942,3.847665098646914,56.11769908699237,12.7748439201742,,1123.820750750266,2.830126532945826,56.734259040626455,16.03270114544878,
2015-06-08,1617.9312,1142.7263,1568.3989903092472,3.1581383306671427,50.735670239756814,11.549658646794983,,1125.6212792502406,1.5196070885540536,48.918957820059546,13.824152184911817,
2015-06-09,1605.3112,1127.4383,1571.9144388512236,2.1245915377673583,42.66842918013542,9.713201573896713,,1125.7943288454558,0.14602766352804508,40.72759751412104,11.509331581266299,
2015-06-10,1622.7012,1141.4502,1576.7512732463451,2.914215294023464,48.831754567899836,11.116244128009336,,1127.2853641935076,1.2565439290189317,47.35017695183275,13.380825784809064,
2015-06-11,1614.0412,1130.9947,1580.3026948419313,2.1349394181374493,42.749198474738364,9.731588199665094,,1127.6386342703163,0.2976189026953051,41.63161401045084,11.76480026211807,
2015-06-12,1629.5212,1144.0819000000001,1584.9901715236522,2.809546032297476,48.014769626650036,10.930262605612635,,1129.2046595779052,1.3174972575525885,47.7136729876415,13.48354719878759,
2015-06-15,1618.0512,1131.5429,1588.138840902352,1.8834851416801968,40.7864985006405,9.284791801395766,,1129.4273491419142,0.18731181422984378,40.973796130059604,11.578905572334723,
2015-06-16,1618.7012,1131.0959,1591.0495417687948,1.737950799474433,39.65054546097859,9.026199182339294,,1129.5862587474462,0.13364550434845057,40.6537563329286,11.48846458467016,
2015-06-17,1610.0912,1120.3974,1592.8630330289095,1.081584958270426,34.52735074868334,7.859935884181299,,1128.7111293429275,-0.7365683855502709,35.4642235068543,10.021939238399828,
2015-06-18,1616.6612,1125.8417,1595.1295251213944,1.3498386519406296,36.621176811361856,8.336582318049627,,1128.4378503578869,-0.23006587000458012,38.48475841376033,10.875521082610437,
2015-06-19,1694.7012,1203.1583,1604.6125417764997,5.614355857131798,70.69233487408954,15.913987460971937,,1135.5540836571358,5.953412287078379,76.2008876595837,21.296209089011388,
2015-06-23,1765.3612,1271.5219,1619.9219377977854,8.978164861445919,97.24299239700336,21.89096971304743,,1148.5033994993134,10.711200380801316,100.0,29.31425719490861,
2015-06-24,1734.9712,1239.8662,1630.8790103884726,6.38258196644108,76.7559693736322,19.079949851179553,,1157.204618594617,7.143212192306365,79.48799675716323,25.626098921015867,
2015-06-25,1699.4112,1203.545,1637.4058855895705,3.786801730476469,57.862666855948376,15.179928879492133,,1161.6179882522724,3.6093631617059856,59.172256080357144,20.583504454466034,
2015-06-26,1731.8512,1234.7474,1646.4006774381828,5.19014136308418,69.25331476895605,20.13765281871201,,1168.5826941330083,5.6619618105914356,70.97243812074124,27.285076911924783,
2015-06-29,1718.5212,1219.6134,1653.2692986345464,3.9468404463414117,59.16167147500842,17.947158775624423,,1173.4427613584362,3.934630657920991,61.04218601977377,24.320202274330686,
2015-07-02,1746.6112,1246.6933999999999,1662.1590035264944,5.080873508149878,68.36640782579971,22.368305872123866,,1180.4190126576327,5.614479827222965,70.699469000504,30.356464268125283,
2015-07-03,1818.0712,1316.4920000000002,1677.0077841430189,8.411613660402125,95.40140882090697,32.957736076989534,,1193.3783447854773,10.316397624648872,97.73031888373605,44.058822461153405,
2015-07-06,1684.2212,1181.2598,1677.694776129398,0.3890113960811874,30.283431949428575,11.40494261613638,,1192.224197663051,-0.9196590443763029,33.13536546575385,16.16156063054543,
2015-07-07,1581.6612,1077.6815,1668.5487212599314,-5.207370941756025,0.0,0.0,,1181.315369314189,-8.772752137674601,0.0,0.0,
2015-07-08,1515.7912,1011.4202,1654.0003859018427,-8.356055239157897,0.0,0.0,,1165.1348769985518,-13.19286548133627,0.0,0.0,
2015-07-09,1481.0412,973.8491,1637.5280824826195,-9.556286952060901,0.0,0.0,,1146.9171839510707,-15.089850110612161,0.0,0.0,
2015-07-10,1457.3812,945.3408999999999,1620.3712365318938,-10.05880830622148,0.0,0.0,,1127.7194426223973,-16.172332916269895,0.0,0.0,
2015-07-13,1441.5012,922.3222999999999,1603.3359949574278,-10.093629499144683,0.0,0.0,,1108.1578099916928,-16.769769460279846,0.0,0.0,
2015-07-14,1431.0312,906.6003,1586.926014485292,-9.823697706276207,1.4153455504231711,0.7465412157871348,,1088.9618566591507,-16.746367702779025,0.08515622860528668,0.06985133297258257,
2015-07-15,1428.2812,903.2641,1571.8169845343118,-9.131838244949222,5.043003484679335,2.7893891815440672,,1071.276356024946,-15.683371996407018,3.9532719192783947,3.373541513186546,
2015-07-16,1423.6912,897.9650999999999,1557.7097669596155,-8.603564656412019,7.81292423020086,4.425081790001646,,1054.7705221178082,-14.86630682501142,6.92647547112019,5.910737490113636,
2015-07-17,1426.6712,899.9136,1545.2299034396522,-7.672560774014457,12.694498899028881,8.101103568465641,,1040.022243820874,-13.47169684622682,12.001296290215903,10.969266191899433,
2015-07-20,1423.9312,896.1311999999999,1533.6776459692092,-7.1557700705649125,15.404210914996428,9.830329578619393,,1026.3183348855528,-12.68486886186929,14.864470293563137,13.586226646583544,
2015-07-21,1419.6012,889.421,1522.8132225435702,-6.7777204069172825,17.386455776176458,11.09531617211988,,1013.2804934678811,-12.223613724565112,16.542923201053505,15.120343985877913,
2015-07-22,1415.2612,883.1871000000001,1512.5701727775158,-6.433352615887472,19.19209495473955,12.247600331515715,,1000.89064647094,-11.759880750804612,18.2303926624379,16.662702516574065,
2015-07-23,1420.2012,886.5231,1503.7731277510857,-5.557482455885392,23.784584488980506,15.178336995475455,,989.9984991879934,-10.45207636909197,22.98933817737243,21.012410988368128,
2015-07-24,1420.2912,885.8616000000001,1495.822467965268,-5.049480776151967,26.448212620285993,16.87815417858893,,980.0806992653273,-9.613402175550874,26.041174405828116,23.801809996149025,
2015-07-27,1418.8112,884.3245,1488.4880614923854,-4.681049401399022,28.380025473271974,18.110957152649583,,970.961061240058,-8.922763713038151,28.55432611228751,26.098847697922444,
2015-07-28,1445.4612,908.9072,1484.3902651597773,-2.6225626827044124,39.17338177617029,24.998830235045894,,965.0511696933859,-5.817719459500154,39.85321502157295,36.4261087805186,
