date,name,code,weekday,open,high,low,close,change,pct
2014-11-14,主动偏股,932055,五,818.71,818.71,818.71,818.71,-0.79,-0.10
2014-11-17,股票基金,H11021,一,4902.87,4902.87,4902.87,4902.87,24.01,0.49
2014-11-17,主动股基,930890,一,826.82,826.82,826.82,826.82,7.50,0.92
2014-11-17,主动偏股,932055,一,825.51,825.51,825.51,825.51,6.80,0.83
2014-11-17,偏股基金,930950,一,784.84,784.84,784.84,784.84,4.84,0.62
2014-11-18,偏股基金,930950,二,782.87,782.87,782.87,782.87,-1.97,-0.25
2014-11-18,主动股基,930890,二,826.18,826.18,826.18,826.18,-0.64,-0.08
2014-11-18,股票基金,H11021,二,4890.75,4890.75,4890.75,4890.75,-12.12,-0.25
2014-11-18,主动偏股,932055,二,824.72,824.72,824.72,824.72,-0.79,-0.10
2014-11-19,主动股基,930890,三,831.04,831.04,831.04,831.04,4.86,0.59
2014-11-19,股票基金,H11021,三,4907.32,4907.32,4907.32,4907.32,16.57,0.34
2014-11-19,偏股基金,930950,三,786.03,786.03,786.03,786.03,3.16,0.40
2014-11-19,主动偏股,932055,三,829.09,829.09,829.09,829.09,4.37,0.53
2014-11-20,主动偏股,932055,四,826.61,826.61,826.61,826.61,-2.48,-0.30
2014-11-20,偏股基金,930950,四,784.01,784.01,784.01,784.01,-2.02,-0.26
2014-11-20,主动股基,930890,四,829.61,829.61,829.61,829.61,-1.43,-0.17
2014-11-20,股票基金,H11021,四,4898.47,4898.47,4898.47,4898.47,-8.85,-0.18
2014-11-21,股票基金,H11021,五,4959.46,4959.46,4959.46,4959.46,60.99,1.25
2014-11-21,偏股基金,930950,五,792.99,792.99,792.99,792.99,8.98,1.15
2014-11-21,主动偏股,932055,五,835.29,835.29,835.29,835.29,8.68,1.05
2014-11-21,主动股基,930890,五,838.06,838.06,838.06,838.06,8.44,1.02
2014-11-24,股票基金,H11021,一,5037.85,5037.85,5037.85,5037.85,78.39,1.58
2014-11-24,主动偏股,932055,一,845.74,845.74,845.74,845.74,10.45,1.25
2014-11-24,偏股基金,930950,一,804.39,804.39,804.39,804.39,11.40,1.44
2014-11-24,主动股基,930890,一,847.58,847.58,847.58,847.58,9.52,1.14
2014-11-25,主动股基,930890,二,858.24,858.24,858.24,858.24,10.66,1.26
2014-11-25,主动偏股,932055,二,857.71,857.71,857.71,857.71,11.97,1.42
2014-11-25,股票基金,H11021,二,5108.56,5108.56,5108.56,5108.56,70.71,1.40
2014-11-25,偏股基金,930950,二,815.58,815.58,815.58,815.58,11.19,1.39
2014-11-26,主动偏股,932055,三,864.54,864.54,864.54,864.54,6.83,0.80
2014-11-26,主动股基,930890,三,866.10,866.10,866.10,866.10,7.86,0.92
2014-11-26,偏股基金,930950,三,822.56,822.56,822.56,822.56,6.98,0.86
2014-11-26,股票基金,H11021,三,5153.24,5153.24,5153.24,5153.24,44.68,0.87
2014-11-27,偏股基金,930950,四,828.15,828.15,828.15,828.15,5.59,0.68
2014-11-27,股票基金,H11021,四,5192.08,5192.08,5192.08,5192.08,38.84,0.75
2014-11-27,主动股基,930890,四,871.32,871.32,871.32,871.32,5.21,0.60
2014-11-27,主动偏股,932055,四,869.93,869.93,869.93,869.93,5.39,0.62
2014-11-28,主动偏股,932055,五,874.02,874.02,874.02,874.02,4.09,0.47
2014-11-28,偏股基金,930950,五,833.83,833.83,833.83,833.83,5.68,0.69
2014-11-28,股票基金,H11021,五,5233.05,5233.05,5233.05,5233.05,40.97,0.79
2014-11-28,主动股基,930890,五,873.01,873.01,873.01,873.01,1.70,0.19
2014-12-01,偏股基金,930950,一,831.00,831.00,831.00,831.00,-2.83,-0.34
2014-12-01,主动偏股,932055,一,869.78,869.78,869.78,869.78,-4.24,-0.49
2014-12-01,股票基金,H11021,一,5218.45,5218.45,5218.45,5218.45,-14.60,-0.28
2014-12-01,主动股基,930890,一,869.17,869.17,869.17,869.17,-3.84,-0.44
2014-12-02,股票基金,H11021,二,5330.88,5330.88,5330.88,5330.88,112.43,2.15
2014-12-02,偏股基金,930950,二,847.57,847.57,847.57,847.57,16.57,1.99
2014-12-02,主动股基,930890,二,884.47,884.47,884.47,884.47,15.30,1.76
2014-12-02,主动偏股,932055,二,884.75,884.75,884.75,884.75,14.97,1.72
2014-12-03,股票基金,H11021,三,5387.06,5387.06,5387.06,5387.06,56.18,1.05
2014-12-03,主动偏股,932055,三,892.76,892.76,892.76,892.76,8.01,0.91
2014-12-03,偏股基金,930950,三,856.26,856.26,856.26,856.26,8.69,1.03
2014-12-03,主动股基,930890,三,890.82,890.82,890.82,890.82,6.35,0.72
2014-12-04,主动偏股,932055,四,915.63,915.63,915.63,915.63,22.87,2.56
2014-12-04,偏股基金,930950,四,880.70,880.70,880.70,880.70,24.44,2.85
2014-12-04,股票基金,H11021,四,5550.25,5550.25,5550.25,5550.25,163.19,3.03
2014-12-04,主动股基,930890,四,911.05,911.05,911.05,911.05,20.23,2.27
2014-12-05,偏股基金,930950,五,874.17,874.17,874.17,874.17,-6.53,-0.74
2014-12-05,主动偏股,932055,五,906.40,906.40,906.40,906.40,-9.23,-1.01
2014-12-05,股票基金,H11021,五,5505.01,5505.01,5505.01,5505.01,-45.24,-0.82
2014-12-05,主动股基,930890,五,892.87,892.87,892.87,892.87,-18.18,-2.00
